"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"596c1c5efe777a8d8aafbca19fe37e1d","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"f710c0927080e422094a96ffe13b389c","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",NA
"ecc877a3410d54ea784131356fe5ea73","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",NA
"3ccd9b32a9a7dc4a75ab7d88f35665df","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus",NA
"fa71c8409cbcaad5dd98b8d80a46b07b","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",NA
"bf8144aac6a30e6695ad6bf8f49131ab","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"387e36ab394fd347fd94d8762016779f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella",NA
"984ef97167ec7b42d7a3650716d6a2ed","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"86417ff63eaf8a9473179df540422a81","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"6207087a2aeb57241cefe393e011bd02","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA
"4bec204a5986223b16143ad5db1c8433","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia",NA
"a2de505abb56c8744ac2e8123c2d1bc1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium",NA
"5a0df24ab3d9c2d78a043cd477a54b4f","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium",NA
"c8fce068920feb387167d44c01689295","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA
"9886d89016c5dfd08cdb3aed3c966cb6","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",NA
"64acd1cc6ba26f74372bdccbb9b8065c","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA
"a4dbf71f32a016e120fe6cf253dfa6c0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas",NA
"dd55670a7993a5317059df033d09d63f","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"bace8d5431c11e75808b28a88981721d","Bacteria","Lentisphaerae","[Lentisphaeria]","Victivallales","Victivallaceae","Victivallis",NA
"e66860dbaac1010e5b69f9780d84b3b2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"86c98ea884e894ba5799c32cea3b7765","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum",NA
"d28f5cab517f832750bbf62798e58dc3","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus",NA
"0590c29091ff2b3affd966ed57773407","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythromicrobium",NA
"bd8cf9d4f4744a93802336d81b60966e","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"d9d0120f569d8e15590c6486f4ffed36","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter",NA
"f283cd6d309acf7626b1fbc0079d275d","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas",NA
"aadf067e83ca643294c80e37a0283592","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter",NA
"33902c26956acf7efa69413cfea6326e","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Microbispora",NA
"c22da6c79af27ac1f4eabbaa551ef052","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"957a16edeead7722188be53d05fbf001","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia",NA
"354b3affe7706d4e6ddfb5b0511f5441","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"075614efc7d3dd61cd64a4e5f17078ae","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"4f3e4d6a8a9cb34f1cc87190e7090474","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA
"252d0fd6601d9776290e142e5bfd744b","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia",NA
"856da3a5c943d7dccc1c1f2c0f15a981","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Arsenicicoccus",NA
"84a09f7554a54295e2fe70e6d08b95a8","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"fff0f27911c727476a833d9e5a35dfeb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
"0cdc26df2e337ea78808c32c8f52c94b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium",NA
"53bc90e1c93440a53d0bf5ae8b456b1a","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"2ba1bc26e9373f83349a875dd4c0ad3a","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"1e6fb78e2244ca940f9fc31d88d711dc","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Mogibacterium",NA
"6b9a2b83cbba29ae21ab29588bac0a5b","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"1d5ea3cb8686552de9dd9b1284a89dc9","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus",NA
"12880b7b3ea5ac0628d143e0f13638b5","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Modestobacter",NA
"50569633cbb1654d8b28051a9449f45b","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"3794c39f5fa4a37b52d248bfb3e95abf","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",NA
"1731e2c1b8ee177b7fa7eecafb40898b","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas",NA
"43c828faa858052ace54389bdcb47be5","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",NA
"bc5d102ce5ca031bd57231ea57206612","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"c3936710486e2affbcd6f59d36c68e2f","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter",NA
"8c991b2f2830155b0481dd233b3af040","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"606163fa1f2a48591ccc82dde467cd7e","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA
"7ab381e80f5c97ad9f7ee107c0866487","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter",NA
"c122dce029d0662e2c1ff1e3cfb2661e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA
"656326d89791c753746563843909ebf2","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia",NA
